Year,FTAs in India,Percentage (%) change over previous year,FEE through tourism (in Crores),Fee % Change over previous year,0-14,15-24,25-34,35-44,45-54,55-64,65 and above,Q1 (Jan-Mar),Q2 (Apr-June),Q3 (July-Sep),Q4 (Oct-Dec),Tourism % Share in India,Rank of India
2001,2540000,-4.2,15083,-3.5,8.0,10.8,21.1,22.1,19.4,11.9,6.7,31.3,20.2,23.0,25.5,0.37,51st
2002,2380000,-6.0,15064,-0.1,9.4,10.0,19.4,21.6,19.4,12.3,7.9,28.8,18.4,21.1,31.7,0.34,54th
2003,2730000,14.3,20729,37.6,8.5,10.0,19.5,21.6,19.4,12.8,8.2,27.7,17.6,22.8,31.9,0.4,51st
2004,3460000,26.8,27944,34.8,8.6,9.8,18.8,21.3,19.4,12.9,8.2,27.8,18.3,21.8,32.1,0.45,44th
2005,3920000,13.3,33123,18.5,8.9,9.6,18.8,21.3,19.5,13.2,8.7,28.3,18.4,21.4,31.9,0.49,43rd
2006,4450000,13.5,39025,17.8,9.6,9.3,18.3,21.7,19.6,13.7,7.8,28.5,19.2,20.9,31.4,0.53,44th
2007,5080000,14.3,44362,13.7,9.4,8.7,18.0,21.5,19.6,14.3,8.5,29.7,18.4,20.9,31.0,0.57,41st
2008,5280000,4.0,51294,15.6,9.5,8.1,19.0,20.7,19.5,14.5,8.8,30.9,19.5,21.7,27.9,0.58,41st
2009,5170000,-2.2,53754,4.8,9.6,8.0,17.9,20.9,19.7,14.7,9.2,27.2,19.3,21.8,31.7,0.59,41st
2010,5780000,11.8,66172,23.1,10.0,8.3,17.4,21.1,19.9,13.8,9.5,28.3,18.8,21.8,31.1,0.61,42nd
2011,6310000,9.2,83036,25.5,10.5,7.9,16.6,21.2,19.7,13.7,10.5,28.3,19.6,20.9,31.2,0.63,38th
2012,6580000,4.3,95607,15.1,11.0,8.0,16.5,21.0,19.8,13.9,9.9,29.8,19.1,20.5,30.6,0.63,41st
2013,6970000,5.9,107563,12.5,9.5,8.7,19.1,21.0,20.0,14.0,7.7,29.4,18.9,20.8,30.9,0.64,41st
2014,7680000,10.2,120367,11.9,9.2,8.5,18.9,21.0,20.1,14.0,8.3,28.7,19.6,21.5,30.2,1.15,24th
2015,8030000,4.5,134844,12.0,9.4,8.5,19.2,21.2,20.0,13.8,7.9,28.4,19.5,22.1,30.0,1.15,24th
2016,8800000,9.7,154146,14.3,9.5,8.5,19.2,21.1,19.9,13.8,8.1,28.4,18.9,22.6,30.0,1.21,26th
2017,10040000,14.0,177874,15.4,9.4,8.5,19.1,21.1,19.9,13.8,8.2,27.7,20.0,22.1,30.2,1.26,26th
2018,10560000,5.2,194881,9.6,9.3,8.4,18.6,21.0,19.8,14.2,8.7,29.5,19.2,21.9,29.3,1.24,22nd
2019,10930000,3.5,211661,8.6,9.2,8.3,18.6,21.3,19.8,14.1,8.8,29.1,19.4,21.7,29.9,1.23,23rd
2020,2740000,-74.9,50136,,,,,,,,,,,,,1.58,34th
2021,1520000,-44.52554744525548,65070,,,,,,,,,,,,,1.23,39th
2022,6440000,323.6842105263158,134543,,,,,,,,,,,,,,
2023,9240000,43.47826086956522,2345210,,,,,,,,,,,,,,
